customer_id,tax_id,status,last_name,first_name,middle_initial,gender,dob,email,phone,address_line1,address_line2,city,state,postal_code,country,signup_date
93,836-82-4969,INACTIVE,Davis,Brian,X,M,1955-04-28,brian.davis822@mail.com,+1-574-992-3372,1391 2nd St,,Philadelphia,PA,12330,Canada,2004-07-18
94,766-97-2305,INACTIVE,Young,Melissa,J,M,1979-11-09,melissa.young9833@brokerage.test,+1-369-698-1979,5191 Park St,Apt 1798,San Francisco,CA,17936,United States,2003-01-31
95,588-59-8417,INACTIVE,Baker,Steven,Z,M,1960-03-26,steven.baker4791@brokerage.test,+1-486-262-6440,9935 Market St,Apt 2463,Austin,TX,92536,Spain,2005-05-05
96,926-67-5641,ACTIVE,Martin,Amy,K,F,1987-07-08,amy.martin4392@brokerage.test,+1-632-361-1692,4737 Cedar St,Apt 2343,Boston,MA,88876,South Africa,2004-04-24
97,916-58-4283,ACTIVE,Moore,Elizabeth,J,F,2001-09-22,elizabeth.moore6480@example.com,+1-676-925-4384,4183 Market St,Apt 1884,Newark,NJ,21149,Spain,2005-09-19
98,365-76-6259,INACTIVE,Garcia,Andrew,Q,M,1984-06-25,andrew.garcia3100@mail.com,+1-417-396-2510,2970 2nd St,,Boston,MA,85968,United Kingdom,2005-12-03
99,987-23-7089,INACTIVE,Thompson,Joshua,Z,M,1975-09-28,joshua.thompson2559@example.com,+1-523-811-1497,5661 Main St,,San Francisco,CA,74653,United Kingdom,2005-02-05
100,367-45-7978,ACTIVE,Miller,Mary,O,U,1952-04-28,mary.miller4162@mail.com,+1-238-546-4293,2971 Sunset St,,Atlanta,GA,84341,Mexico,2004-03-13
101,222-21-5213,INACTIVE,Williams,Patricia,S,U,1985-06-28,patricia.williams1472@mail.com,+1-885-718-7440,3002 Folsom St,Apt 1520,Philadelphia,PA,18412,Mexico,2005-03-24
102,957-16-5225,INACTIVE,Campbell,Jessica,B,F,1964-03-02,jessica.campbell2373@example.com,+1-525-973-1094,3269 2nd St,,San Francisco,CA,82461,Spain,2003-02-26
103,483-71-7220,ACTIVE,Carter,Donald,O,F,1991-02-16,donald.carter2346@mail.com,+1-893-212-8666,3206 Mission St,,Chicago,IL,61124,Spain,2003-09-12
104,962-12-2231,INACTIVE,Anderson,Amy,K,F,1954-10-28,amy.anderson3832@brokerage.test,+1-688-318-6997,2349 3rd St,,Philadelphia,PA,22712,Canada,2005-02-27
105,521-41-3550,ACTIVE,Lopez,Patricia,I,M,1995-08-18,patricia.lopez5481@brokerage.test,+1-371-466-9044,1799 3rd St,,Austin,TX,44917,Mexico,2005-05-06
106,222-42-4303,INACTIVE,Davis,Steven,N,U,1959-09-02,steven.davis3911@brokerage.test,+1-443-299-7392,4751 Valencia St,Apt 236,Newark,NJ,72581,United Kingdom,2004-08-09
107,243-66-1031,INACTIVE,Campbell,Amy,F,M,1968-03-21,amy.campbell7132@brokerage.test,+1-241-618-4576,4545 Maple St,,Newark,NJ,54683,Mexico,2005-11-12
108,723-73-5487,ACTIVE,King,Barbara,G,M,1999-04-23,barbara.king3149@mail.com,+1-796-515-4314,174 Broad St,,Atlanta,GA,20389,United Kingdom,2003-06-29
109,192-11-7709,INACTIVE,Clark,Kimberly,E,F,1996-01-17,kimberly.clark4069@brokerage.test,+1-390-776-7014,610 Maple St,,Chicago,IL,93778,Spain,2005-10-06
110,831-41-6258,INACTIVE,Hill,Joshua,S,F,1950-06-17,joshua.hill4777@example.com,+1-310-948-9106,7324 Market St,,New York,NY,25829,Brazil,2004-12-31
111,419-42-1492,ACTIVE,Rodriguez,Andrew,D,M,1951-04-03,andrew.rodriguez4284@mail.com,+1-218-813-8601,8577 Elm St,,Austin,TX,32004,Japan,2003-07-30
112,699-74-5581,ACTIVE,Thompson,Michael,D,M,1956-12-06,michael.thompson6647@example.com,+1-340-754-4726,3729 Cedar St,,New York,NY,70928,France,2005-10-07
113,137-60-1851,INACTIVE,Mitchell,Sandra,K,M,1975-03-27,sandra.mitchell3939@demo.net,+1-543-932-8136,9257 3rd St,Apt 2299,Boston,MA,88255,South Africa,2005-12-12
114,473-23-9696,ACTIVE,Lee,Patricia,C,F,1983-03-22,patricia.lee7095@brokerage.test,+1-405-716-1341,3704 Cedar St,,Boston,MA,96916,United Kingdom,2003-01-24
115,743-79-1586,ACTIVE,Roberts,Betty,I,M,1979-11-02,betty.roberts8525@example.com,+1-213-644-4877,655 2nd St,,Atlanta,GA,44835,United States,2004-07-13
116,704-78-3431,INACTIVE,Adams,Matthew,D,U,1960-02-02,matthew.adams4811@mail.com,+1-616-791-5723,4501 Elm St,,Chicago,IL,21072,Brazil,2005-08-13
117,306-80-7009,INACTIVE,Wright,Deborah,R,U,1968-08-20,deborah.wright7830@brokerage.test,+1-680-517-1507,3979 3rd St,,Miami,FL,95243,Japan,2005-03-02
118,670-51-9051,INACTIVE,Wright,Paul,J,M,1974-10-13,paul.wright4842@mail.com,+1-258-990-1356,2607 Broad St,,Austin,TX,41266,Spain,2004-10-25
119,330-96-3531,INACTIVE,Lewis,Matthew,K,F,1992-01-17,matthew.lewis2300@brokerage.test,+1-891-407-5534,8493 Pine St,,Seattle,WA,24318,Mexico,2005-12-02
120,520-80-2924,INACTIVE,Cook,Deborah,M,U,1998-08-09,deborah.cook6848@mail.com,+1-486-836-2819,6228 Folsom St,,Boston,MA,23547,Canada,2003-01-09
